affiliation,authorID,type
nd7bKN37mP,2067594712,company
Ef2w4xXkV2,13880511,company
Ef2w4xXkV2,2043169608,company
MdAikMtKca,71361836,company
OY1ibQYV9f,2100067713,company
IwvKaPs7nx,2138485499,university
KTGRNehQOs,83500001,company
RE6zRR2HAD,146977915,university
dyQpF94K70,1693719029,company
Kpdi4o1VIk,1396536635,university
MmOgD1SMgE,93986161,university
IAAHNBJQ8S,92462721,university
zylF7uMpph,14590594,company
TvmG286olA,50281777,company
QzlzGOiCMF,2168630911,university
a8lX8EcDg7,103219250,university
4G7921tYjo,16178356,company
PzeLRcmqMn,1514156310,company
UwHSmaVN9T,2134056998,university
lUAHVNGaRO,1485468698,university
CXbKPTOjlL,2046668139,company
VkazC7swZQ,148592514,university
3C3ZrgbLiX,2077347087,company
a8lX8EcDg7,31886832,university
TLgcHMTKEb,134791480,university
A8faEjP9uE,101017575,company
dyQpF94K70,103975134,company
LhT1sOxVxr,148613475,university
PzeLRcmqMn,122841322,company
OY1ibQYV9f,101367559,company
dyQpF94K70,135267337,company
zylF7uMpph,2078702342,company
lUAHVNGaRO,2167972193,university
nd7bKN37mP,82146055,company
muTx7C3aQQ,2067320977,university
rLo4zQfpvI,88167625,company
TvmG286olA,2081153906,company
dyQpF94K70,133937740,company
f3kNmwwyOf,2075582758,university
UwHSmaVN9T,145193808,university
QzlzGOiCMF,2138899517,university
a8lX8EcDg7,13064652,university
AJLY9ogB1E,2104999739,company
1EZfzIjF5A,67091075,company
nd7bKN37mP,2073082007,company
zylF7uMpph,81430906,company
4G7921tYjo,3329482,company
IAAHNBJQ8S,2103184981,university
f3kNmwwyOf,2146302858,university
MdAikMtKca,2158554218,company
TLgcHMTKEb,81746997,university
rLo4zQfpvI,115244026,company
IAAHNBJQ8S,119887786,university
AJLY9ogB1E,70460260,company
AJLY9ogB1E,2096345855,company
nd7bKN37mP,88433377,company
sf1zujlMLk,2084179734,university
KTGRNehQOs,71060010,company
PzeLRcmqMn,2052046787,company
LhT1sOxVxr,2064735628,university
muTx7C3aQQ,2130826928,university
TvmG286olA,117072575,company
PxHvBseSaZ,2186485267,company
f3kNmwwyOf,2055533369,university
AJLY9ogB1E,2105954179,company
KTGRNehQOs,2162899653,company
Ef2w4xXkV2,121585625,company
IwvKaPs7nx,2091352504,university
lUAHVNGaRO,2105886067,university
nd7bKN37mP,1431923855,company
koLLBLF4Kh,71932904,university
PzeLRcmqMn,2097215416,company
MmOgD1SMgE,2188219626,university
IAAHNBJQ8S,2188951687,university
x3nzgFOaqM,87926302,company
Kpdi4o1VIk,102416739,university
a8lX8EcDg7,121783265,university
qc8esXYwNM,122431363,university
QzlzGOiCMF,152666964,university
He7w7yNxKI,143975798,company
MmOgD1SMgE,1409266005,university
RE6zRR2HAD,48393866,university
UwHSmaVN9T,147965377,university
f3kNmwwyOf,82307164,university
LhT1sOxVxr,1414035704,university
muTx7C3aQQ,2164949231,university
a8lX8EcDg7,83723095,university
MdAikMtKca,102147990,company
f3kNmwwyOf,1478581801,university
nd7bKN37mP,105003095,company
PxHvBseSaZ,150134500,company
a8lX8EcDg7,2133000440,university
KTGRNehQOs,2100667744,company
bJWe09CpXg,2079741014,university
AgIZOB11nT,2111149699,company
He7w7yNxKI,98502447,company
muTx7C3aQQ,1998634153,university
Hji11I565l,2077232750,university
IwvKaPs7nx,2198810921,university
LhT1sOxVxr,25842431,university
