journalID,editorID1,editorID2,editorID3,editorID4
3e0f5847-034a-4c20-8bed-9fbec8e0cb87,UwHSmaVN9T,koLLBLF4Kh,RE6zRR2HAD,muTx7C3aQQ
924b5177-20b5-464c-84b2-0f813c7a83b9,LhT1sOxVxr,MmOgD1SMgE,TLgcHMTKEb,JSGHuc9MLB
6f6d7b8f-57c7-49a4-b01b-ed33ed25b3f2,MmOgD1SMgE,qc8esXYwNM,LhT1sOxVxr,QzlzGOiCMF
3a9f67ab-f61c-45aa-a187-c08d4035728b,sf1zujlMLk,bJWe09CpXg,IAAHNBJQ8S,Kpdi4o1VIk
ba0535ba-d87c-4eb2-8597-9649a54eda9d,muTx7C3aQQ,lUAHVNGaRO,sf1zujlMLk,a8lX8EcDg7
4d7bc938-a483-4c5d-bedb-a7722c5c8165,f3kNmwwyOf,TLgcHMTKEb,JSGHuc9MLB,a8lX8EcDg7
c4906074-ce3f-48b7-bc22-2df39bb3e948,Hji11I565l,bJWe09CpXg,Kpdi4o1VIk,MmOgD1SMgE
30aa77a0-fb15-4dd9-8efa-9dbfa3cf57e1,muTx7C3aQQ,f3kNmwwyOf,UwHSmaVN9T,bJWe09CpXg
ddee628a-b322-4999-9904-2cef31ca23d7,bJWe09CpXg,lUAHVNGaRO,TLgcHMTKEb,Hji11I565l
5385d627-f38f-4f07-a1fb-840f1cf08c88,a8lX8EcDg7,QzlzGOiCMF,koLLBLF4Kh,RE6zRR2HAD
40aaba87-5e4a-4532-b5be-bd59a5ba1611,MmOgD1SMgE,lUAHVNGaRO,koLLBLF4Kh,Kpdi4o1VIk
ddce71bd-e266-4f12-bd75-d0a9b327c12a,QzlzGOiCMF,a8lX8EcDg7,MmOgD1SMgE,RE6zRR2HAD
7a2b9da8-de5a-48d9-b77b-781955a16084,QzlzGOiCMF,IwvKaPs7nx,MmOgD1SMgE,Kpdi4o1VIk
