journalID,area
3e0f5847-034a-4c20-8bed-9fbec8e0cb87,artificial intelligence
924b5177-20b5-464c-84b2-0f813c7a83b9,machine learning
6f6d7b8f-57c7-49a4-b01b-ed33ed25b3f2,big data
3a9f67ab-f61c-45aa-a187-c08d4035728b,deep learning
ba0535ba-d87c-4eb2-8597-9649a54eda9d,natural language processing
4d7bc938-a483-4c5d-bedb-a7722c5c8165,blockchain
c4906074-ce3f-48b7-bc22-2df39bb3e948,internet of things
30aa77a0-fb15-4dd9-8efa-9dbfa3cf57e1,cybersecurity
ddee628a-b322-4999-9904-2cef31ca23d7,data science
5385d627-f38f-4f07-a1fb-840f1cf08c88,artificial intelligence
40aaba87-5e4a-4532-b5be-bd59a5ba1611,machine learning
ddce71bd-e266-4f12-bd75-d0a9b327c12a,big data
7a2b9da8-de5a-48d9-b77b-781955a16084,deep learning
9ecf3c50-f992-4389-96c0-a4bafd46c48b,natural language processing
e442512f-e7e8-4ad3-ada8-d3cd1b2c86c8,blockchain
1d52ca9d-7ba3-428b-870d-0370c28589f3,internet of things
9251bb39-b6bf-4ab9-9ff7-b61db0a3c340,cybersecurity
3b2c751d-4ed2-4da6-be71-4c19769543bf,data science
10360c14-66ed-4973-bdc6-338c7499845e,artificial intelligence
90f50ae1-d87f-4189-b415-849e96dd96f1,machine learning
47a190d9-bfa4-4158-852e-b9428312a19c,big data
237c9ae0-2f26-4eca-a083-28778d813825,deep learning
98b33b54-deeb-4e36-9d52-02c86fbfd510,natural language processing
76bda6dd-359d-4a2f-aea7-4e7dab39926c,blockchain
9f12bb35-cade-4b75-b689-860823fbf2cb,internet of things
26c4ed67-b7d5-4a46-8317-87decb51a69c,cybersecurity
28927fa0-8dca-4082-a7d0-abd989c8ef12,data science
75a40e9a-d458-4cb2-8d3a-ad0f3c60134c,artificial intelligence
1f978602-0f0f-4e8b-a8f0-423b4fe882f4,machine learning
27a6e7c4-31cf-47d3-87f1-3163dec68ab5,big data
4a3eb43b-e335-492f-bb9c-1413cca299d4,deep learning
2247e234-68d6-483d-9dd3-a9b9ed8d8773,natural language processing
41bfda96-f67a-4623-976c-d573aa55dfd4,blockchain
af9217e1-baa5-48b2-af0f-94eeaef5070f,internet of things
7b328dcc-4ced-46c5-afe5-d4d091163176,cybersecurity
a78f2c18-4d1d-4790-93a0-52aff92de25f,data science
cf014da0-4fc0-4d80-8ba6-5077f19f4ff9,artificial intelligence
e835b325-1be9-40c8-9afb-f4f6afeaa028,machine learning
f48a2213-32cb-4fb4-908d-7c5b231196e9,big data
c494f143-afa1-4343-9967-bd08727d8305,deep learning
9210d210-bca6-40ed-a5fe-580255c0b0e6,natural language processing
f83c0eba-cf5a-4172-ae40-b5b5e49ae1c1,blockchain
8f2e5f4f-47a2-4795-a8c3-949271aa9aa6,internet of things
c55d7796-a7a8-4ecc-8b05-b170c92c86c6,cybersecurity
cc594ac8-f8e4-40fb-abce-cac6f2bcb44b,data science
cd5f554f-e368-459a-b830-ceea0d8191fa,artificial intelligence
6b4ac8b4-2a1a-40f5-807d-f3cffd6e0b1b,machine learning
3dbb0e3e-42e8-455a-81f4-6bec5ead31b8,big data
9a3d9aca-5a67-4344-92e0-77ce2d11379c,deep learning
