venueID,paperID,startPage,endPage
y813lsj7-1vg1-lqlk-ojlg-cyxmgs9sz9rh,187609691,51,150
9v1c4l2v-da2c-tfz7-iulr-igjexv7my5tn,187609691,83,149
0i4cbrhu-1ruy-jkcu-th4v-6l97d8ao8qcm,187609691,56,144
83m7j3e2-sa5m-ngp3-fdlp-r9233ndawuyy,187609691,69,151
y3j02ld1-b80r-4yya-ppah-tpedrexfqd0d,187609691,86,163
4zud10fu-23ah-cwxu-p994-vocli2m41awi,220171483,3,36
gl10qgsj-yctb-ly23-wp3a-c9ss0hrmjfqx,220171483,46,134
9v1c4l2v-da2c-tfz7-iulr-igjexv7my5tn,220171483,35,91
oqny3fmj-6vye-yvrp-lty7-l4dx743a1da5,220171483,82,136
z3b1unrm-ltnn-9hk8-0kjz-8874q2czgirf,220171483,1,15
qsi7wipr-ytq2-h699-697j-zz46nk3tb4xr,220171483,80,89
hitan7il-lubz-ayzs-ooge-5uiwn6d14bxp,220171483,66,112
wgmxb8ar-i6bi-cd9g-430v-5td2xm9brn2u,220171483,91,103
b6sgdb7m-hwro-eruc-xtli-jylxc7ca1hzw,224597913,45,49
qkjhr3j2-3no3-rdkp-kc9p-o6tj3sx81abs,224597913,82,164
6ntieguf-3cco-hzdi-fsep-m36kwycuuqd7,224597913,21,75
6f57bnpn-skpc-x20r-67te-4il6cowv6c76,224597913,9,101
cmpf2bbp-ydui-ahn3-eyyh-jon4pcl2kvze,224597913,87,106
pucuc1d4-r49c-a6t7-vnz9-8oa7kdr10mrw,224597913,48,134
mqoua9ss-ldo4-nwle-4snl-q2u15k9hh7yo,224597913,31,127
lplvn2j9-p1xy-kqxz-81ao-4oojw2ua3v3d,224597913,11,92
hythccdz-tw4o-38k5-amkw-92k3qm3y21jn,224597913,8,106
5xlpwqlq-eu87-og87-svv3-v91gz75ab3t6,224597913,67,117
5wa2gjh2-wb3u-bf3b-xf7n-kf8b3rth25tl,224597913,69,109
kvjuvgko-dofj-sp0j-567f-w46jac6rmtrw,214235867,55,155
c1llvhy3-gze0-s3sq-5m4w-a8c89htbb8lo,214235867,4,25
ddlizvvx-ui1r-iw3i-prxr-2rvi6j05c67v,214235867,67,109
m0aycbyk-mztk-6vzn-eowz-3n96j4d489yc,214235867,67,133
5lhsjm7u-e8dw-nhcj-i4ln-apcmoegnfgyk,214235867,72,90
83sv0omb-zmt5-eg07-fo3b-1jwe02hfaeuf,214235867,44,109
pucuc1d4-r49c-a6t7-vnz9-8oa7kdr10mrw,214235867,14,84
o8wo92ss-i946-ppti-vmok-xa27fm03k3oq,214235867,93,141
83sjho4u-enxb-nt50-c43o-nyh9ywgmmco7,214235867,29,102
v98i8i45-zbq5-vzo6-ia5v-hdx3x0uwn2vm,211992081,28,127
wrqf1ws9-1g26-gqgk-ozsq-mu1px0ktovx6,211992081,58,102
n4d2byd3-uuad-v78u-htsh-lb61n7vk66hh,211992081,97,122
lq18y1ji-03d9-k1p6-0mwq-tbe3yjdoi9w5,211992081,24,73
lplvn2j9-p1xy-kqxz-81ao-4oojw2ua3v3d,211992081,8,62
ronmxvkv-8gai-jzfz-5lg4-jmu3qo9qz8lq,211992081,49,114
upuntc1l-u8f6-c4sb-suwq-6h57n8tkmioq,211992081,34,57
0cn5aihk-h9cf-hwpv-hrmd-znv7syk5adi3,211992081,72,121
mqoua9ss-ldo4-nwle-4snl-q2u15k9hh7yo,211992081,48,57
z3b1unrm-ltnn-9hk8-0kjz-8874q2czgirf,211992081,38,54
3bgyp5u1-6b15-t7u3-0e9u-t2l7jg78srwu,222186672,64,158
ru7z0ey0-xe89-2qrd-bsst-6x0n7pkpb99d,222186672,17,79
a436k0zx-48xv-xs7u-8u7r-ymkblug4rftu,222186672,69,75
cgmdgs4d-eapx-i2iz-ecea-92vsgutvv95k,222186672,61,131
lwq053zd-4wzc-cknl-1elt-t3g3vz3qgaap,222186672,19,61
6o4zkhc2-aoxe-hbmg-budu-ibc388nlucjg,222186672,48,77
lgotxrkt-8k74-9cts-sybe-8dwfqe8nc863,222186672,77,82
4zbn5gqs-krvu-zy5r-e4lc-2w23iex0h4uu,222186672,60,125
xugk8gj6-rfky-o8wp-rtzk-a0p7owgt2umo,222186672,77,177
lw94admo-1kky-dt5i-bdrc-48s4vuavkk8s,222186672,37,128
7zk0ennt-gt0a-q1s5-vmt2-pjsntdnorfc5,222186672,75,77
qr07i712-e8gc-t51d-krtt-0mu7teng4cs2,222186672,42,136
3vjjxul6-poi3-iwev-bq5b-yqlnezwnxixj,222186672,50,80
bxs3xs8v-mkcx-dg5x-0lge-oyi6g57o75vu,222186672,89,98
rw8tewnd-h9i7-a560-z5em-lwov05hzew6y,222186672,33,70
0oegg4o0-hjuy-ui7x-qxo3-4yedoumhcoju,177163529,25,75
rshhl5wj-xenw-e1h1-d2l6-pdn7klca9khp,177163529,10,74
3dry490r-pamd-304b-0z0h-eekibkivb95g,177163529,6,43
w5iasd80-z4nv-5mxa-glzf-iadopkzlqdhd,177163529,18,79
op08brad-gzk5-fsyb-5g05-9v7dfrdltwjo,177163529,94,187
s5ya84y1-9m6t-gvj5-9j54-en0xsjdnk8e5,177163529,14,31
9h7ioalu-j3d8-zaw9-sw7w-cr4ijex5wao3,177163529,16,75
scljzy6k-ebh1-bzfj-zybn-a77efej7fw3w,177163529,46,117
izj48gwi-e5ve-pmpi-sp2w-8b56uia6i3xw,177163529,79,82
9hlm451h-jlaw-6ig7-djmr-f4o5b7qat3yg,177163529,57,124
hitan7il-lubz-ayzs-ooge-5uiwn6d14bxp,177163529,46,83
